969,281,1925,270,1926,342,970,353
534,285,656,285,656,356,534,356
2035,378,2110,377,2128,1811,2052,1812
2120,378,2200,377,2219,1811,2139,1812
1859,385,1936,384,1950,1811,1873,1812
1944,385,2022,384,2041,1804,1963,1805
2216,392,2289,391,2326,3251,2254,3252
2294,385,2370,384,2391,1797,2315,1798
1149,392,1225,391,1238,1825,1163,1826
1235,392,1312,391,1329,1761,1252,1762
1325,392,1404,391,1420,1818,1341,1819
1414,392,1491,391,1509,1818,1432,1819
1504,392,1581,391,1596,1818,1519,1819
1768,392,1845,391,1862,1518,1785,1520
709,399,784,398,799,1825,724,1826
972,399,1048,398,1059,1818,984,1819
1055,399,1133,398,1153,1811,1075,1812
1591,399,1666,398,1685,1754,1610,1755
542,406,613,406,613,891,542,891
620,406,699,405,713,1825,634,1826
793,406,869,405,889,1818,813,1819
887,406,961,406,972,1825,897,1826
1679,506,1756,504,1774,1347,1697,1349
417,520,493,519,511,1932,435,1933
2505,627,2567,627,2550,1733,2488,1732
1269,1783,1319,1783,1319,1818,1269,1818
1618,1783,1676,1783,1676,1818,1618,1818
1618,1847,1690,1847,1690,2089,1618,2089
2143,1833,2222,1832,2234,3266,2156,3266
1530,1847,1600,1846,1612,3273,1542,3274
1700,1840,1776,1839,1788,2902,1712,2903
1787,1840,1863,1839,1880,3266,1804,3267
1889,1847,1954,1847,1954,2403,1889,2403
1966,1840,2044,1839,2056,3259,1978,3259
810,1847,891,1846,910,3287,830,3288
911,1854,977,1853,992,2859,926,2860
1257,1847,1334,1846,1350,3273,1272,3274
1349,1847,1424,1846,1434,3280,1359,3281
2055,1847,2134,1846,2147,3266,2068,3267
549,1854,627,1853,642,3280,564,3281
634,1854,713,1853,735,3280,656,3281
741,1861,798,1861,798,2018,741,2018
999,1861,1069,1860,1081,3273,1011,3274
1078,1854,1155,1853,1172,3280,1095,3281
1176,1854,1248,1854,1248,2859,1176,2859
1440,1861,1519,1861,1519,3266,1440,3266
2325,1954,2396,1954,2396,2546,2325,2546
734,2032,803,2031,818,3280,749,3281
1618,2082,1697,2082,1697,3266,1618,3266
2489,2096,2546,2096,2546,2310,2489,2310
2487,2431,2546,2432,2538,3017,2478,3016
1889,2467,1968,2467,1968,3273,1889,3273
1191,2859,1255,2859,1255,3273,1191,3273
927,2859,991,2859,991,3280,927,3280
1725,2916,1783,2916,1783,3273,1725,3273
2489,3038,2538,3038,2538,3259,2489,3259
